,Parking,Swimming Pool,Restaurant,Room Service,Fitness Centre,Spa & Wellness Centre,Business Centre,Facilities for Disabled,Airport Shuttle,Non-smoking Rooms,Babysitting/Child Services,Meeting/Banquet Facilities,Car Rental,Breakfast Buffet,Bar/Lounge,Kids Activities,Game Room,Dry Cleaning,Valet Parking,name,rate,review,Highspeed Internet,Airconditioning,Safe/Vault,Tennis Court,Indoor Pool,Pet-friendly,Casino,Golfcourse,Beach Access,Ski-In Ski-Out
28,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,Continent Hotel Al Waha Riyad,7.7,1696 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
29,,,,,,1.0,,,,1.0,,,,,,,,,1.0,msharef almoden hotel,N/A,N/A,1.0,,1.0,,,,0.0,0.0,0.0,0.0
30,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,Melissa Hotel Riyadh,7.8,648 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
31,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,Fairmont Riyadh,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
32,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,Aber Al Yasmin 101,8.1,804 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
33,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,Awfad Hotel Riyadh,7.4,2707 reviews,1.0,,1.0,,,,0.0,0.0,0.0,0.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,Dabab Hotel by Warwick,7.3,1606 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,Braira Qurtubah Riyadh,8.2,10463 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
36,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,Celine Home Hotel,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
37,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,Al Amoria Furnished Apartments 3,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
38,1.0,,,,,,,,,,,,,,,,,,,Holiday Plus Cordoba,6.8,380 reviews,1.0,1.0,,,,,0.0,0.0,0.0,0.0
39,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,Al Muteb Suites Heritage Hotel,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
40,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,Land Walk Hotel,8.8,115 reviews,1.0,1.0,,,1.0,,0.0,0.0,0.0,0.0
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,Executives Hotel - Olaya,7.7,2841 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
42,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Al Muteb Suites Granada,N/A,N/A,1.0,,1.0,,,,0.0,0.0,0.0,0.0
43,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,Executives Hotel - KAFD,8.1,1681 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
44,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,Radisson Blu Hotel & Residence Riyadh Diplomatic Quarters ,8.9,1501 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
45,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Alyaa Home,N/A,N/A,1.0,1.0,,,,,0.0,0.0,0.0,0.0
46,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,Al Farhan Hotel Suites (Exit 15),6.1,241 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
47,,,,,,,,,,,,,,,,,,,,Namar Home Serviced Suites,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
48,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Saraya Qordoba,N/A,N/A,1.0,,1.0,,,,0.0,0.0,0.0,0.0
49,1.0,,,,,1.0,,,,,,,,,,,,,1.0,Hotel Vivian Park El Raed,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
